Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
12/31/2020,"1,934","7,697",3.43,0,"1,154",272,6,8,910
12/30/2020,"1,911","11,676",6.08,0,"1,244",150,7,39,820
12/29/2020,"1,737","3,675",1.59,0,"1,211",229,0,0,658
12/28/2020,"1,975","10,639",5.21,0,"1,071",248,24,34,969
12/27/2020,"1,648","6,454",3.3,0,"1,202",112,3,39,524
12/26/2020,"1,438","2,045",0.89,0,"1,265",100,0,0,272
12/25/2020,"2,084","8,807",4.33,0,"1,125",246,29,40,"1,033"
12/24/2020,"1,677","3,633",1.59,0,"1,220",220,0,0,595
12/23/2020,"1,718","4,004",1.77,0,"1,220",220,0,0,631
12/22/2020,"1,865","5,968",2.57,0,"1,168",265,5,2,830
12/21/2020,"1,994","11,553",6.05,0,"1,108",142,6,66,899
12/20/2020,"1,462","2,148",0.94,0,"1,323",117,0,0,299
12/19/2020,"1,418","1,407",0.61,0,"1,264",87,0,0,245
12/18/2020,"1,503","2,217",0.97,0,"1,319",121,0,0,326
12/17/2020,"1,994","10,032",4.95,0,"1,214",170,9,47,897
12/16/2020,"1,622","3,528",1.54,0,"1,249",191,0,0,500
12/15/2020,"1,845","8,429",4.43,0,"1,255",142,0,43,716
12/14/2020,"1,873","6,113",2.67,0,614,295,0,0,856
12/13/2020,"1,793","8,082",3.52,0,"1,222",184,2,32,723
12/12/2020,"1,630","3,898",1.7,0,"1,071",198,4,1,537
12/11/2020,"1,721","5,748",2.51,0,"1,240",176,15,9,620
12/10/2020,"1,519","3,602",1.65,0,"1,315",125,0,0,357
12/9/2020,"1,469","3,284",1.63,0,"1,343",97,0,0,292
12/8/2020,"1,775","8,889",4.01,0,"1,249",148,1,42,662
12/7/2020,"1,738","4,847",2.15,0,"1,210",230,0,0,640
12/6/2020,"1,661","5,157",2.38,0,"1,277",141,9,13,547
12/5/2020,"1,604","4,752",2.03,0,"1,184",175,0,0,499
12/4/2020,"1,566","2,710",1.18,0,"1,115",142,7,3,411
12/3/2020,"1,599","3,940",1.84,0,"1,281",148,11,0,454
12/2/2020,"1,844","8,995",3.96,0,"1,213",173,5,49,757
12/1/2020,"1,643","5,479",2.72,0,"1,066",156,0,0,506
11/30/2020,"1,960","10,721",4.7,0,"1,181",212,2,45,891
11/29/2020,"1,688","7,245",3.17,0,"1,212",100,2,41,561
11/28/2020,"1,755","7,948",3.95,0,"1,079",141,10,37,646
11/27/2020,"1,449","2,142",0.94,0,"1,342",98,0,0,268
11/26/2020,"1,787","7,487",3.83,0,"1,221",175,10,34,687
11/25/2020,"1,650","3,819",1.67,0,"1,260",171,9,0,522
11/24/2020,"1,846","7,420",3.24,0,770,140,2,43,712
11/23/2020,"1,759","7,593",3.87,0,"1,169",148,5,33,648
11/22/2020,"1,833","10,038",4.86,0,"1,263",111,2,64,728
11/21/2020,"1,537","2,470",1.08,0,"1,156",152,0,0,398
11/20/2020,"1,780","8,278",4.02,0,"1,242",162,1,35,681
11/19/2020,"1,489","2,423",1.06,0,"1,323",117,0,0,321
11/18/2020,"1,861","7,826",3.54,0,"1,216",181,8,35,766
11/17/2020,"1,620","6,725",3.38,0,"1,299",102,4,35,471
11/16/2020,"1,648","5,462",2.39,0,"1,270",135,20,15,514
11/15/2020,"1,715","4,861",2.11,0,"1,167",201,10,1,640
11/14/2020,"1,722","5,596",2.44,0,"1,241",183,14,2,634
11/13/2020,"1,568","2,273",0.99,0,"1,268",172,0,0,435
11/12/2020,"1,714","6,308",2.76,0,"1,237",169,16,18,618
11/11/2020,"1,720","8,026",4.16,0,"1,269",122,4,45,582
11/10/2020,"1,671","4,326",1.89,0,"1,296",106,3,35,520
11/9/2020,"1,554","3,133",1.37,0,"1,293",134,13,0,394
11/8/2020,"1,243",0,0,0,"1,440",0,0,0,0
11/7/2020,"1,888","7,416",3.23,0,"1,094",174,51,13,818
11/6/2020,"1,726","6,593",3.49,0,"1,256",143,10,31,576
11/5/2020,"1,408","1,427",0.62,0,"1,372",68,0,0,215
11/4/2020,"1,589","2,384",1.04,0,"1,274",166,0,0,429
11/3/2020,"1,955","6,804",3.8,0,"1,169",236,2,33,859
11/2/2020,"1,749","1,951",0.85,0,"1,225",207,8,0,633
11/1/2020,"1,562","2,317",1.01,0,"1,311",129,0,0,337
10/31/2020,"2,078","7,149",3.11,0,"1,120",257,39,24,"1,088"
10/30/2020,"1,485","1,741",0.76,0,"1,336",104,0,0,263
10/29/2020,"1,765","4,580",2,0,"1,205",216,19,0,665
10/28/2020,"1,692","5,851",3.03,0,"1,284",124,2,30,516
10/27/2020,"1,417","1,210",0.53,0,"1,142",84,0,0,213
10/26/2020,"1,904","8,210",4.03,0,"1,202",199,4,35,801
10/25/2020,"1,314",634,0.28,0,"1,292",41,0,0,97
10/24/2020,"1,742","6,228",2.71,0,"1,160",176,30,8,663
10/23/2020,"1,554","2,870",1.25,0,"1,283",157,0,0,412
10/22/2020,"1,400","1,212",0.53,0,"1,355",85,0,0,195
10/21/2020,"1,514","2,386",1.04,0,"1,311",129,0,0,342
10/20/2020,"1,848","6,991",3.55,0,"1,113",208,9,36,768
10/19/2020,"1,728","6,371",3.26,0,"1,253",148,4,35,602
10/18/2020,"1,695","3,816",1.67,0,"1,244",162,32,2,608
10/17/2020,"2,111","8,033",3.78,0,"1,114",250,47,29,"1,112"
10/16/2020,"1,406","1,633",0.73,0,"1,254",75,0,0,199
10/15/2020,"1,517","3,299",1.48,0,"1,304",136,0,0,366
10/14/2020,"1,615","6,147",3.12,0,"1,307",109,3,21,453
10/13/2020,"1,808","10,471",5.94,0,"1,260",110,6,64,680
10/12/2020,"1,704","6,712",3.52,0,"1,267",121,19,33,570
10/11/2020,"1,675","5,196",2.26,0,"1,244",196,0,0,576
10/10/2020,"1,244",0,0,0,"1,440",0,0,0,0
10/9/2020,"1,875","6,548",3.24,0,"1,165",245,5,25,813
10/8/2020,"1,635","5,698",2.62,0,"1,286",116,4,34,488
10/7/2020,"1,705","5,837",3.17,0,"1,261",145,4,30,557
10/6/2020,"1,848","7,061",3.55,0,"1,234",168,4,34,716
10/5/2020,"1,807","7,914",4.03,0,"1,247",148,13,32,656
10/4/2020,"1,234",0,0,0,"1,440",0,0,0,0
10/3/2020,"1,636","3,680",1.59,0,"1,244",196,0,0,524
10/2/2020,"1,486","1,455",0.64,0,"1,337",103,0,0,280
10/1/2020,"1,673","3,896",1.69,0,714,158,20,1,538
9/30/2020,"1,704","6,113",2.69,0,"1,237",194,4,5,601
9/29/2020,"1,565","3,190",1.39,0,"1,289",139,8,4,405
